"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Josh Reddick","Astros","OF","558.4","545","648.0","($377.7)","$2.1","($374.6)"
"Scott Kingery","Phillies","SS","524.8","543","652.0","($373.8)","($3.8)","($376.5)"
"Wilmer Flores","Diamondbacks","1B","421.0","544","624.0","($401.2)","$20.7","($379.5)"
"Yolmer Sanchez","White Sox","3B","576.4","546","606.0","($418.9)","$38.4","($379.5)"
"Michael A. Taylor","Nationals","OF","567.5","493","641.0","($384.6)","$2.1","($381.4)"
"Kevin Pillar","Giants","OF","379.5","537","631.0","($394.4)","$2.1","($391.3)"
"Jay Bruce","Mariners","1B/OF","283.0","491","624.0","($401.2)","$2.1","($398.1)"
"Johan Camargo","Braves","3B","501.0","476","587.0","($437.5)","$38.4","($398.1)"
"Joe Panik","Giants","2B","588.6","498","538.0","($485.6)","$75.7","($408.9)"
"Albert Pujols","Angels","1B/DH","546.1","496","589.0","($435.6)","$20.7","($413.8)"
"Lewis Brinson","Marlins","OF","424.6","507","604.0","($420.8)","$2.1","($417.7)"
"Brett Gardner","Yankees","OF","389.6","496","602.0","($422.8)","$2.1","($419.7)"
"Jose Martinez","Cardinals","1B/OF","260.6","449","590.0","($434.6)","$2.1","($431.5)"
"Gregory Polanco","Pirates","OF","250.1","426","589.0","($435.6)","$2.1","($432.4)"
"Daniel Vogelbach","Mariners","1B","592.4","432","559.0","($465.0)","$20.7","($443.2)"
"Austin Romine","Yankees","C","578.7","261","259.0","($759.2)","$312.0","($446.2)"
"Albert Almora Jr.","Cubs","OF","576.2","546","568.0","($456.1)","$2.1","($453.0)"
"Ryon Healy","Mariners","1B","422.3","438","547.0","($476.7)","$20.7","($455.0)"
"Travis d'Arnaud","Mets","C","596.5","227","250.0","($768.0)","$312.0","($455.0)"
"Todd Frazier","Mets","3B","586.9","404","519.0","($504.2)","$38.4","($464.8)"
"Luke Maile","Blue Jays","C","601.0","207","214.0","($803.3)","$312.0","($490.3)"
"Devon Travis","Blue Jays","2B","599.4","400","447.0","($574.8)","$75.7","($498.1)"
"Neil Walker","Marlins","1B/2B/3B","576.6","396","438.0","($583.6)","$75.7","($507.0)"
"Wilmer Difo","Nationals","2B/3B","598.9","389","427.0","($594.4)","$75.7","($517.8)"
"Adam Duvall","Braves","OF","595.1","404","475.0","($547.3)","$2.1","($544.2)"
"J.P. Crawford","Mariners","SS","591.1","357","427.0","($594.4)","($3.8)","($597.2)"
"Addison Russell","Cubs","SS","585.6","365","425.0","($596.4)","($3.8)","($599.1)"
"Greg Bird","Yankees","1B","485.3","317","393.0","($627.8)","$20.7","($606.0)"
"Didi Gregorius","Yankees","SS","460.2","313","402.0","($618.9)","($3.8)","($621.7)"
"Juan Lagares","Mets","OF","600.2","366","391.0","($629.7)","$2.1","($626.6)"
"Tim Beckham","Mariners","3B/SS","470.6","324","377.0","($643.4)","($3.8)","($646.2)"
"Brandon Drury","Blue Jays","1B/2B/3B/SS/DH","587.5","361","368.0","($652.3)","($3.8)","($655.0)"
"Jake Cave","Twins","OF","587.6","305","352.0","($668.0)","$2.1","($664.8)"
"Rowdy Tellez","Blue Jays","1B/DH","585.8","214","267.0","($751.3)","$20.7","($729.6)"
"Ehire Adrianza","Twins","3B/SS","600.8","281","279.0","($739.5)","($3.8)","($742.3)"
"Yoenis Cespedes","Mets","OF","566.8","162","223.0","($794.5)","$2.1","($791.3)"
"Ronald Torreyes","Twins","2B","999.0","167","141.0","($874.9)","$75.7","($798.2)"
