"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Ryan Helsley","","SP","999.0","87","366.0","($504.5)","$108.1","($395.4)"
"Adam Wilk","","SP","999.0","126","366.0","($504.5)","$108.1","($395.4)"
"Silvino Bracho","Diamondbacks","RP","999.0","65","366.0","($504.5)","$108.1","($395.4)"
"Chris Flexen","Mets","SP","999.0","94","365.0","($505.3)","$108.1","($396.2)"
"Anthony Misiewicz","","SP","999.0","111","364.0","($506.2)","$108.1","($397.1)"
"McKenzie Mills","","SP","999.0","104","364.0","($506.2)","$108.1","($397.1)"
"Travis Ott","","SP","999.0","81","364.0","($506.2)","$108.1","($397.1)"
"James Naile","","SP","999.0","128","364.0","($506.2)","$108.1","($397.1)"
"Austin Davis","Phillies","RP","999.0","72","363.0","($507.1)","$108.1","($398.0)"
"Tyler Beede","Giants","SP","600.6","99","363.0","($507.1)","$108.1","($398.0)"
"Archie Bradley","Diamondbacks","RP","208.8","73","362.0","($508.0)","$108.1","($398.9)"
"Jacob Waguespack","","SP","999.0","96","361.0","($508.8)","$108.1","($399.7)"
"Forrest Snow","","SP","999.0","104","361.0","($508.8)","$108.1","($399.7)"
"Ariel Jurado","Rangers","SP","999.0","145","361.0","($508.8)","$108.1","($399.7)"
"Joey Wentz","","SP","999.0","86","360.0","($509.7)","$108.1","($400.6)"
"Raisel Iglesias","Reds","RP","110.0","67","360.0","($509.7)","$108.1","($400.6)"
"Kendall Graveman","Cubs","SP","999.0","106","359.0","($510.6)","$108.1","($401.5)"
"Jorge Lopez","Royals","SP","999.0","99","359.0","($510.6)","$108.1","($401.5)"
"Jordan Lyles","Pirates","SP","596.7","93","358.0","($511.5)","$108.1","($402.4)"
"Ryne Stanek","Rays","SP/RP","593.9","68","358.0","($511.5)","$108.1","($402.4)"
