"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Kendrys Morales","Athletics","DH","559.2","630","782.0","($172.6)","$0.0","($171.6)"
"Ryan McMahon","Rockies","1B","319.4","583","736.0","($220.9)","$47.6","($172.3)"
"Jake Bauers","Indians","1B/OF","230.4","588","773.0","($182.0)","$7.6","($173.4)"
"Tyler White","Astros","1B/DH","286.2","574","733.0","($224.0)","$47.6","($175.5)"
"Evan Longoria","Giants","3B","508.5","630","730.0","($227.2)","$50.7","($175.5)"
"Yonder Alonso","White Sox","1B","362.2","595","732.0","($225.1)","$47.6","($176.5)"
"Nomar Mazara","Rangers","OF","159.6","609","769.0","($186.2)","$7.6","($177.6)"
"Miguel Cabrera","Tigers","1B","151.4","560","731.0","($226.1)","$47.6","($177.6)"
"Martin Maldonado","Royals","C","553.2","448","450.0","($521.3)","$342.7","($177.6)"
"Austin Barnes","Dodgers","C","308.6","384","450.0","($521.3)","$342.7","($177.6)"
"Michael Brantley","Astros","OF","119.5","595","766.0","($189.4)","$7.6","($180.7)"
"Eduardo Escobar","Diamondbacks","3B/SS","182.1","623","774.0","($181.0)","($2.9)","($182.8)"
"Robinson Chirinos","Astros","C","237.5","384","445.0","($526.5)","$342.7","($182.8)"
"Trey Mancini","Orioles","1B/OF","253.4","623","762.0","($193.6)","$7.6","($184.9)"
"Wilson Ramos","Mets","C","126.9","384","443.0","($528.6)","$342.7","($184.9)"
"Asdrubal Cabrera","Rangers","2B/3B/SS","218.8","616","771.0","($184.1)","($2.9)","($186.0)"
"Amed Rosario","Mets","SS","143.0","637","767.0","($188.3)","($2.9)","($190.2)"
"Corey Dickerson","Pirates","OF","200.9","595","757.0","($198.8)","$7.6","($190.2)"
"Kole Calhoun","Angels","OF","474.9","630","755.0","($200.9)","$7.6","($192.3)"
"Jason Castro","Twins","C","587.2","416","436.0","($536.0)","$342.7","($192.3)"
"Kevin Kiermaier","Rays","OF","383.4","609","752.0","($204.1)","$7.6","($195.4)"
"Randal Grichuk","Blue Jays","OF","237.8","546","752.0","($204.1)","$7.6","($195.4)"
"Domingo Santana","Mariners","OF","186.5","602","750.0","($206.2)","$7.6","($197.5)"
"Chris Iannetta","Rockies","C","466.0","352","429.0","($543.3)","$342.7","($199.6)"
"Tim Anderson","White Sox","SS","137.6","623","754.0","($202.0)","($2.9)","($203.8)"
"Billy Hamilton","Royals","OF","159.7","595","743.0","($213.5)","$7.6","($204.9)"
"Paul DeJong","Cardinals","SS","179.8","602","752.0","($204.1)","($2.9)","($205.9)"
"Zack Cozart","Angels","3B","568.4","609","700.0","($258.7)","$50.7","($207.0)"
"Jorge Polanco","Twins","SS","227.1","616","750.0","($206.2)","($2.9)","($208.0)"
"Peter Alonso","","1B","209.3","540","702.0","($256.6)","$47.6","($208.0)"
"Ryan Zimmerman","Nationals","1B","423.7","540","700.0","($258.7)","$47.6","($210.1)"
"Andrelton Simmons","Angels","SS","254.5","651","746.0","($210.4)","($2.9)","($212.2)"
"Elvis Andrus","Rangers","SS","184.9","630","743.0","($213.5)","($2.9)","($215.4)"
"Jurickson Profar","Athletics","1B/3B/SS","134.1","616","743.0","($213.5)","($2.9)","($215.4)"
"Jung Ho Kang","Pirates","3B","368.0","535","692.0","($267.1)","$50.7","($215.4)"
